Timestamp,Q1. What is your primary role?,Q2. Years of professional software development experience?,Q3. How long have you been using AI coding tools?,What is your seniority,Q4. For what share of your coding tasks do you use Claude Code (or similar AI coding agents)?,Q5. How often do you still write code entirely without AI assistance?,Q6. Which AI tools do you use as part of your work?,"Q7. On a typical working day, how frequently do you interact with an AI tool?","Q8. How deliberately do you craft prompts for coding tasks (context, constraints, examples)?",Q9. Do you use plan mode (or a plan-then-execute approach) before generating code?,Q10. Do you use to-do lists / task breakdowns to structure AI work on larger tasks?,"Q11. Do you use the same model for every task, or choose per task?","Q12. When you choose models per task, what drives the choice?",Q13. How often do you iterate/refine within a session rather than accepting the first output?,Q14. Do you use Skills?,Q15. Do you use MCP servers / connectors?,Q16. Have you built your own Skills?,Q17. Have you built or configured your own MCP servers?,"Q18. Have you built automations for your day-to-day work (scripts, agents, pipelines driven by AI)?","Q19. Do you have reusable, defined workflows (saved prompts, templates, repeatable processes) for recurring tasks?",Q20. Do you share or standardize AI workflows/skills with your team?,"Q21. Does your team have codified, shared AI standards (golden rules, coding standards, CLAUDE.md / agent config files)?",Q22. Do you use AI tools for research / exploring solutions / understanding a codebase?,Q23. Which AI tools do you use specifically for research?,"Q24. Do you use AI tools for design work (architecture, diagrams, UI/UX, mockups)?",Q25. At which SDLC stages do you use AI?,"Q26. Do you have a clear, defined methodology for incorporating AI into your SDLC?",Q27. How thoroughly do you inspect the code/artifacts AI produces before using them?,"Q28. Do you use tools to review AI-generated output (linters, tests, AI reviewers, static analysis)?","Q29. Do you persist AI-generated designs, plans, decisions, and assumptions in the codebase (e.g. ADRs, design docs, inline rationale)?",Q30. How often does AI-generated code introduce bugs/issues you only catch later?,Q31. I feel in control of the outputs AI generates in my workflow.,Q32. AI tooling is improving my development velocity.,Q33. I actively keep track of AI trends and new tooling.,Q34. How do you feel about the pace of new AI tooling?,"Q35. What is your single biggest blocker to using AI more effectively, and what one workflow or capability has delivered the most value for you?"
06/22/2026 12:09:00,Frontend,< 1,3–12 months,Mid level,25–50%,Regularly,"Cursor, ChatGPT",Hourly,Occasionally,Occasionally,Occasionally,"Mostly one, occasionally switch","Speed, Cost",Regularly,Tried it,Never,No,No,Tried it,Tried it,No,None,Regularly,"ChatGPT, Claude",Occasionally,"Coding, Debugging, Research / discovery",Informal personal habits,Regularly,Regularly,Tried it,Rarely,Neutral,Agree,Regularly,FOMO — worried I'm falling behind,"I check everything twice because I'm still learning, so it's slow. Explaining unfamiliar code to me has been the most useful thing."
06/22/2026 17:31:00,Backend,1–3,3–12 months,Mid level,25–50%,Occasionally,"ChatGPT, GitHub Copilot, Claude (chat)",Hourly,Occasionally,Tried it,Occasionally,Always the same model,I don't choose per task,Regularly,Tried it,Never,No,No,Tried it,Tried it,No,None,Regularly,"Claude, ChatGPT",Tried it,"Coding, Debugging, Testing",Informal personal habits,Regularly,Regularly,Occasionally,Sometimes,Neutral,Agree,Occasionally,FOMO — worried I'm falling behind,Knowing whether to trust the answer is hard at my level. Generating unit tests from a description has built my confidence the most.
06/23/2026 20:15:00,Mobile,1–3,3–12 months,Mid level,25–50%,Occasionally,"Cursor, ChatGPT",A few times,Occasionally,Tried it,Tried it,"Mostly one, occasionally switch",Speed,Occasionally,Tried it,Never,No,No,Never,Tried it,No,None,Occasionally,"ChatGPT, Claude",Tried it,"Coding, Debugging",Informal personal habits,Regularly,Occasionally,Tried it,Sometimes,Neutral,Neutral,Occasionally,Mild stress,I don't know which tasks AI is actually good for yet. Quick syntax help and small refactors are where it earns its keep for me.
06/24/2026 08:50:00,Frontend,1–3,< 3 months,Senior 1,< 25%,Regularly,"ChatGPT, GitHub Copilot",A few times,Tried it,Tried it,Occasionally,Always the same model,I don't choose per task,Occasionally,Never,Never,No,No,Never,Tried it,No,None,Occasionally,ChatGPT,Tried it,"Coding, Debugging",Informal personal habits,Regularly,Occasionally,Never,Sometimes,Disagree,Neutral,Tried it,FOMO — worried I'm falling behind,I'm late to this and still feel slow with the tools. Autocomplete in the editor is the only part that's stuck so far.
06/24/2026 14:27:00,Backend,1–3,3–12 months,Mid level,25–50%,Occasionally,"ChatGPT, Cursor, Claude (chat)",Hourly,Occasionally,Occasionally,Occasionally,"Mostly one, occasionally switch","Reasoning depth, Speed",Regularly,Tried it,Tried it,No,No,Tried it,Occasionally,No,None,Regularly,"Claude, ChatGPT",Occasionally,"Coding, Research / discovery, Debugging, Testing",Documented personal approach,Regularly,Regularly,Occasionally,Rarely,Neutral,Agree,Regularly,Mild stress,Verifying correctness still takes me as long as writing it. Talking through a design with Claude before coding has been the best workflow.
06/25/2026 10:11:00,Mobile,< 1,< 3 months,Mid level,< 25%,Regularly,ChatGPT,A few times,Tried it,Never,Tried it,Always the same model,I don't choose per task,Occasionally,Never,Never,No,No,Never,Never,No,None,Occasionally,ChatGPT,Never,"Coding, Debugging",No methodology,Regularly,Tried it,Never,Often,Disagree,Neutral,Tried it,FOMO — worried I'm falling behind,Everything feels like it might be subtly wrong and I can't tell. Asking it to explain error messages is the one thing I rely on.
06/21/2026 18:44:00,DevOps / Platform,12+,Not yet,Principal,None,Core to my workflow,GitHub Copilot,Never,Never,Never,Never,Always the same model,I don't choose per task,Never,Never,Never,No,No,Never,Never,No,None,Tried it,ChatGPT,Never,Deployment / ops,No methodology,Occasionally,Tried it,Never,Rarely,Disagree,Disagree,Never,Mild stress,I haven't found time to learn the tooling and I'm wary of it in infra. An occasional Copilot suggestion is the most I use.
06/22/2026 21:02:00,Other,12+,Not yet,Senior 2,None,Core to my workflow,ChatGPT,Never,Never,Never,Never,Always the same model,I don't choose per task,Tried it,Never,Never,No,No,Never,Never,No,None,Tried it,ChatGPT,Never,Documentation,No methodology,Tried it,Never,Never,Sometimes,Strongly disagree,Disagree,Never,Significant stress / overwhelm,I don't trust generated output enough to rely on it. I still write essentially everything by hand.
06/24/2026 19:38:00,Engineering manager,12+,< 3 months,Staff,< 25%,Regularly,"Claude (chat), ChatGPT",A few times,Tried it,Never,Tried it,Always the same model,I don't choose per task,Occasionally,Never,Never,No,No,Never,Never,No,Informal verbal norms,Occasionally,"ChatGPT, Claude",Tried it,"Documentation, Research / discovery",No methodology,Occasionally,Never,Tried it,Sometimes,Neutral,Neutral,Occasionally,Significant stress / overwhelm,"I code less now, so I lean on it mostly for summaries. Drafting docs and meeting notes is where it helps me most."
06/25/2026 13:55:00,Frontend,4–7,Not yet,Senior 1,None,Core to my workflow,GitHub Copilot,A few times,Never,Never,Never,Always the same model,I don't choose per task,Never,Never,Never,No,No,Never,Never,No,None,Never,ChatGPT,Never,Coding,No methodology,Occasionally,Tried it,Never,Often,Strongly disagree,Disagree,Never,Mild stress,"Worried about shipping bugs I won't catch, so I avoid it for real work. Nothing has really clicked for me yet."
06/20/2026 16:25:00,Backend,4–7,3–12 months,Senior 1,50–75%,Occasionally,"Claude Code, ChatGPT, Cursor",Hourly,Regularly,Occasionally,Occasionally,"Mostly one, occasionally switch","Task type, Speed",Regularly,Occasionally,Tried it,No,No,Occasionally,Occasionally,Yes,Some documented,Regularly,"Claude, ChatGPT, Search-augmented tools",Occasionally,"Coding, Research / discovery, Debugging, Code review, Testing",Documented personal approach,Regularly,Regularly,Occasionally,Sometimes,Agree,Agree,Regularly,Energized,Spreading good habits to the wider team is the gap. Plan-then-execute on multi-file changes has been the most valuable workflow.
06/23/2026 11:48:00,Mobile,4–7,1–2 years,Senior 2,50–75%,Occasionally,"Claude Code, Cursor, ChatGPT",Hourly,Regularly,Occasionally,Regularly,"Mostly one, occasionally switch","Reasoning depth, Task type",Regularly,Occasionally,Occasionally,No,No,Occasionally,Occasionally,Yes,Some documented,Regularly,"Claude, ChatGPT",Regularly,"Coding, Design / architecture, Debugging, Testing",Documented personal approach,Regularly,Regularly,Occasionally,Sometimes,Agree,Agree,Occasionally,Neutral,Keeping context across a big app is the limit. Generating and iterating on UI layouts has paid off the most.
06/24/2026 17:09:00,DevOps / Platform,8–12,1–2 years,Senior 2,50–75%,Occasionally,"Claude Code, ChatGPT",Hourly,Regularly,Regularly,Occasionally,"Mostly one, occasionally switch","Task type, Cost",Regularly,Occasionally,Regularly,No,Yes,Regularly,Occasionally,Yes,Some documented,Regularly,"Claude, Search-augmented tools",Occasionally,"Coding, Deployment / ops, Debugging, Documentation",Documented personal approach,Regularly,Regularly,Regularly,Rarely,Agree,Agree,Regularly,Energized,Trusting it on unfamiliar systems takes care. An MCP connector to our monitoring stack has been the highest-value thing I set up.
06/25/2026 12:33:00,Engineering manager,8–12,3–12 months,Principal,25–50%,Occasionally,"Claude (chat), ChatGPT",A few times,Occasionally,Occasionally,Occasionally,"Mostly one, occasionally switch",Reasoning depth,Occasionally,Tried it,Tried it,No,No,Tried it,Occasionally,Yes,Informal verbal norms,Regularly,"Claude, ChatGPT, Perplexity",Occasionally,"Research / discovery, Documentation, Design / architecture",Informal personal habits,Regularly,Occasionally,Occasionally,Sometimes,Neutral,Agree,Regularly,Neutral,Getting the team to standardize is my blocker. Using it to explore architecture options quickly has been the most useful for me.
